Date,Time,Temperature,Tair ,Treflect
7:59:00 PM,0,20.13,19.148,20.59
7:59:00 PM,0.1,20.18,19.149,20.63
7:59:00 PM,0.2,20.19,19.15,20.63
7:59:00 PM,0.3,20.21,19.152,20.65
7:59:00 PM,0.4,20.23,19.153,20.64
7:59:00 PM,0.5,20.3,19.154,20.67
7:59:00 PM,0.6,20.31,19.155,20.68
7:59:00 PM,0.7,20.35,19.157,20.68
7:59:00 PM,0.8,20.43,19.158,20.74
7:59:00 PM,0.9,20.47,19.159,20.75
7:59:01 PM,1,20.49,19.16,20.76
7:59:01 PM,1.1,20.57,19.161,20.81
7:59:01 PM,1.2,20.59,19.163,20.8
7:59:01 PM,1.3,20.63,19.164,20.79
7:59:01 PM,1.4,20.65,19.164,20.81
7:59:01 PM,1.5,20.65,19.164,20.78
7:59:01 PM,1.6,20.69,19.164,20.81
7:59:01 PM,1.7,20.78,19.163,20.84
7:59:01 PM,1.8,20.79,19.161,20.83
7:59:01 PM,1.9,20.83,19.16,20.85
7:59:02 PM,2,20.83,19.161,20.83
7:59:02 PM,2.1,20.9,19.163,20.86
7:59:02 PM,2.2,20.94,19.164,20.89
7:59:02 PM,2.3,20.9,19.165,20.82
7:59:02 PM,2.4,20.93,19.166,20.82
7:59:02 PM,2.5,21.05,19.168,20.9
7:59:02 PM,2.6,21.07,19.166,20.91
7:59:02 PM,2.7,21.11,19.165,20.92
7:59:02 PM,2.8,21.17,19.164,20.95
7:59:02 PM,2.9,21.16,19.166,20.93
7:59:03 PM,3,21.18,19.169,20.92
7:59:03 PM,3.1,21.23,19.171,20.93
7:59:03 PM,3.2,21.27,19.168,20.94
7:59:03 PM,3.3,21.3,19.164,20.95
7:59:03 PM,3.4,21.31,19.16,20.94
7:59:03 PM,3.5,21.34,19.164,20.93
7:59:03 PM,3.6,21.42,19.168,20.99
7:59:03 PM,3.7,21.44,19.171,20.97
7:59:03 PM,3.8,21.44,19.169,20.96
7:59:03 PM,3.9,21.51,19.166,20.98
7:59:04 PM,4,21.51,19.164,20.96
7:59:04 PM,4.1,21.61,19.166,21.02
7:59:04 PM,4.2,21.6,19.169,20.99
7:59:04 PM,4.3,21.6,19.171,20.98
7:59:04 PM,4.4,21.64,19.174,21
7:59:04 PM,4.5,21.66,19.176,20.99
7:59:04 PM,4.6,21.66,19.179,20.96
7:59:04 PM,4.7,21.73,19.179,20.97
7:59:04 PM,4.8,21.75,19.179,20.98
7:59:04 PM,4.9,21.88,19.179,21.09
7:59:05 PM,5,21.87,19.176,21.07
7:59:05 PM,5.1,21.89,19.174,21.05
7:59:05 PM,5.2,21.92,19.171,21.05
7:59:05 PM,5.3,21.94,19.171,21.05
7:59:05 PM,5.4,21.95,19.171,21.05
7:59:05 PM,5.5,21.98,19.171,21.05
7:59:05 PM,5.6,22.04,19.17,21.06
7:59:05 PM,5.7,22.07,19.169,21.08
7:59:05 PM,5.8,22.09,19.168,21.08
7:59:05 PM,5.9,22.11,19.165,21.09
7:59:06 PM,6,22.15,19.163,21.1
7:59:06 PM,6.1,22.2,19.16,21.13
7:59:06 PM,6.2,22.18,19.16,21.1
7:59:06 PM,6.3,22.22,19.16,21.09
7:59:06 PM,6.4,22.23,19.16,21.08
7:59:06 PM,6.5,22.31,19.16,21.12
7:59:06 PM,6.6,22.34,19.16,21.13
7:59:06 PM,6.7,22.35,19.16,21.13
7:59:06 PM,6.8,22.35,19.159,21.11
7:59:06 PM,6.9,22.36,19.158,21.1
7:59:07 PM,7,22.39,19.157,21.1
7:59:07 PM,7.1,22.44,19.158,21.13
7:59:07 PM,7.2,22.47,19.159,21.14
7:59:07 PM,7.3,22.46,19.16,21.1
7:59:07 PM,7.4,22.49,19.16,21.12
7:59:07 PM,7.5,22.52,19.16,21.11
7:59:07 PM,7.6,22.53,19.16,21.1
7:59:07 PM,7.7,22.52,19.162,21.07
7:59:07 PM,7.8,22.54,19.163,21.08
7:59:07 PM,7.9,22.64,19.164,21.14
7:59:08 PM,8,22.7,19.163,21.17
7:59:08 PM,8.1,22.68,19.162,21.13
7:59:08 PM,8.2,22.71,19.161,21.15
7:59:08 PM,8.3,22.68,19.163,21.1
7:59:08 PM,8.4,22.7,19.165,21.1
7:59:08 PM,8.5,22.81,19.168,21.16
7:59:08 PM,8.6,22.78,19.168,21.15
7:59:08 PM,8.7,22.81,19.168,21.15
7:59:08 PM,8.8,22.84,19.168,21.16
7:59:08 PM,8.9,22.86,19.17,21.17
7:59:09 PM,9,22.88,19.173,21.16
7:59:09 PM,9.1,22.94,19.175,21.19
7:59:09 PM,9.2,22.94,19.175,21.19
7:59:09 PM,9.3,22.93,19.175,21.17
7:59:09 PM,9.4,22.93,19.175,21.15
7:59:09 PM,9.5,22.97,19.174,21.15
7:59:09 PM,9.6,23.01,19.173,21.16
7:59:09 PM,9.7,23.09,19.171,21.22
7:59:09 PM,9.8,23.09,19.171,21.22
7:59:09 PM,9.9,23.14,19.171,21.22
7:59:10 PM,10,23.19,19.171,21.26
7:59:10 PM,10.1,23.22,19.171,21.26
7:59:10 PM,10.2,23.15,19.171,21.21
7:59:10 PM,10.3,23.15,19.171,21.19
7:59:10 PM,10.4,23.17,19.167,21.2
7:59:10 PM,10.5,23.14,19.162,21.18
7:59:10 PM,10.6,23.13,19.157,21.18
7:59:10 PM,10.7,23.08,19.16,21.13
7:59:10 PM,10.8,23.11,19.164,21.15
7:59:10 PM,10.9,23.13,19.168,21.17
7:59:11 PM,11,23.08,19.164,21.14
7:59:11 PM,11.1,23.09,19.16,21.13
7:59:11 PM,11.2,23,19.157,21.07
7:59:11 PM,11.3,23.04,19.157,21.09
7:59:11 PM,11.4,22.96,19.157,21.04
7:59:11 PM,11.5,22.94,19.157,21.04
7:59:11 PM,11.6,22.96,19.154,21.05
7:59:11 PM,11.7,22.93,19.152,21.05
7:59:11 PM,11.8,22.96,19.149,21.07
7:59:11 PM,11.9,22.91,19.149,21.03
7:59:12 PM,12,22.9,19.149,21.03
7:59:12 PM,12.1,22.85,19.149,20.99
7:59:12 PM,12.2,22.89,19.142,21.03
7:59:12 PM,12.3,22.85,19.135,21.02
7:59:12 PM,12.4,22.91,19.127,21.07
7:59:12 PM,12.5,22.86,19.127,21.03
7:59:12 PM,12.6,22.87,19.127,21.04
7:59:12 PM,12.7,22.84,19.127,21.03
7:59:12 PM,12.8,22.82,19.129,21.02
7:59:12 PM,12.9,22.82,19.13,21.03
7:59:13 PM,13,22.82,19.131,21.05
7:59:13 PM,13.1,22.78,19.13,21.02
7:59:13 PM,13.2,22.78,19.129,21.02
7:59:13 PM,13.3,22.75,19.127,21.01
7:59:13 PM,13.4,22.77,19.129,21.02
7:59:13 PM,13.5,22.75,19.13,21.03
7:59:13 PM,13.6,22.73,19.131,21.02
7:59:13 PM,13.7,22.69,19.13,20.99
7:59:13 PM,13.8,22.68,19.129,20.99
7:59:13 PM,13.9,22.69,19.127,21
7:59:14 PM,14,22.7,19.129,21.02
7:59:14 PM,14.1,22.69,19.13,21.01
7:59:14 PM,14.2,22.64,19.131,20.97
7:59:14 PM,14.3,22.64,19.133,20.97
7:59:14 PM,14.4,22.69,19.136,21.03
7:59:14 PM,14.5,22.64,19.138,20.99
7:59:14 PM,14.6,22.63,19.141,20.99
7:59:14 PM,14.7,22.63,19.143,21
7:59:14 PM,14.8,22.61,19.146,20.99
7:59:14 PM,14.9,22.61,19.148,20.99
7:59:15 PM,15,22.59,19.151,20.98
7:59:15 PM,15.1,22.6,19.153,20.99
7:59:15 PM,15.2,22.56,19.156,20.96
7:59:15 PM,15.3,22.57,19.158,20.98
7:59:15 PM,15.4,22.57,19.161,20.99
7:59:15 PM,15.5,22.57,19.157,21
7:59:15 PM,15.6,22.59,19.153,21.02
7:59:15 PM,15.7,22.58,19.149,21.02
7:59:15 PM,15.8,22.54,19.146,20.98
7:59:15 PM,15.9,22.48,19.142,20.94
7:59:16 PM,16,22.51,19.138,20.97
7:59:16 PM,16.1,22.49,19.135,20.99
7:59:16 PM,16.2,22.47,19.131,20.96
7:59:16 PM,16.3,22.44,19.127,20.95
7:59:16 PM,16.4,22.41,19.124,20.93
7:59:16 PM,16.5,22.42,19.12,20.96
7:59:16 PM,16.6,22.5,19.116,21.03
7:59:16 PM,16.7,22.43,19.117,20.98
7:59:16 PM,16.8,22.39,19.119,20.95
7:59:16 PM,16.9,22.4,19.12,20.95
7:59:17 PM,17,22.4,19.124,20.96
7:59:17 PM,17.1,22.36,19.127,20.94
7:59:17 PM,17.2,22.35,19.131,20.95
7:59:17 PM,17.3,22.36,19.132,20.95
7:59:17 PM,17.4,22.34,19.133,20.94
7:59:17 PM,17.5,22.31,19.135,20.93
7:59:17 PM,17.6,22.33,19.136,20.95
7:59:17 PM,17.7,22.33,19.137,20.96
7:59:17 PM,17.8,22.29,19.138,20.94
7:59:17 PM,17.9,22.32,19.139,20.96
7:59:18 PM,18,22.26,19.141,20.93
7:59:18 PM,18.1,22.24,19.142,20.92
7:59:18 PM,18.2,22.29,19.141,20.96
7:59:18 PM,18.3,22.23,19.14,20.92
7:59:18 PM,18.4,22.22,19.138,20.91
7:59:18 PM,18.5,22.21,19.14,20.9
7:59:18 PM,18.6,22.22,19.141,20.92
7:59:18 PM,18.7,22.18,19.142,20.89
7:59:18 PM,18.8,22.17,19.142,20.89
7:59:18 PM,18.9,22.2,19.142,20.91
7:59:19 PM,19,22.17,19.142,20.89
7:59:19 PM,19.1,22.18,19.142,20.91
7:59:19 PM,19.2,22.18,19.142,20.94
7:59:19 PM,19.3,22.16,19.142,20.91
7:59:19 PM,19.4,22.18,19.142,20.92
7:59:19 PM,19.5,22.15,19.142,20.92
7:59:19 PM,19.6,22.14,19.142,20.91
7:59:19 PM,19.7,22.12,19.142,20.9
7:59:19 PM,19.8,22.11,19.142,20.9
7:59:19 PM,19.9,22.14,19.142,20.93
7:59:20 PM,20,22.13,19.143,20.93
7:59:20 PM,20.1,22.1,19.144,20.9
7:59:20 PM,20.2,22.07,19.146,20.89
7:59:20 PM,20.3,22.05,19.146,20.88
7:59:20 PM,20.4,22.11,19.146,20.93
7:59:20 PM,20.5,22.04,19.146,20.9
7:59:20 PM,20.6,22.03,19.144,20.9
7:59:20 PM,20.7,22.04,19.143,20.9
7:59:20 PM,20.8,22.01,19.142,20.88
7:59:20 PM,20.9,22.02,19.142,20.89
7:59:21 PM,21,21.98,19.142,20.87
7:59:21 PM,21.1,22.02,19.142,20.91
7:59:21 PM,21.2,21.98,19.14,20.88
7:59:21 PM,21.3,21.98,19.137,20.9
7:59:21 PM,21.4,22.02,19.135,20.95
7:59:21 PM,21.5,22,19.141,20.93
7:59:21 PM,21.6,22.04,19.147,20.97
7:59:21 PM,21.7,21.99,19.153,20.94
7:59:21 PM,21.8,21.97,19.153,20.93
7:59:21 PM,21.9,21.98,19.153,20.91
7:59:22 PM,22,21.97,19.153,20.93
7:59:22 PM,22.1,21.99,19.152,20.95
7:59:22 PM,22.2,21.95,19.15,20.93
7:59:22 PM,22.3,21.94,19.149,20.94
7:59:22 PM,22.4,21.94,19.15,20.92
7:59:22 PM,22.5,21.94,19.152,20.93
7:59:22 PM,22.6,21.92,19.153,20.92
7:59:22 PM,22.7,21.91,19.153,20.93
7:59:22 PM,22.8,21.86,19.153,20.88
7:59:22 PM,22.9,21.83,19.153,20.86
7:59:23 PM,23,21.81,19.154,20.85
7:59:23 PM,23.1,21.82,19.155,20.88
7:59:23 PM,23.2,21.86,19.157,20.9
7:59:23 PM,23.3,21.82,19.155,20.87
7:59:23 PM,23.4,21.84,19.154,20.88
7:59:23 PM,23.5,21.83,19.153,20.88
7:59:23 PM,23.6,21.79,19.153,20.87
7:59:23 PM,23.7,21.76,19.153,20.85
7:59:23 PM,23.8,21.77,19.153,20.85
7:59:23 PM,23.9,21.72,19.154,20.83
7:59:24 PM,24,21.74,19.155,20.85
7:59:24 PM,24.1,21.71,19.157,20.82
7:59:24 PM,24.2,21.69,19.157,20.81
7:59:24 PM,24.3,21.72,19.157,20.84
7:59:24 PM,24.4,21.74,19.157,20.86
7:59:24 PM,24.5,21.75,19.157,20.87
7:59:24 PM,24.6,21.72,19.157,20.86
7:59:24 PM,24.7,21.72,19.157,20.87
7:59:24 PM,24.8,21.71,19.157,20.87
7:59:24 PM,24.9,21.74,19.157,20.89
7:59:25 PM,25,21.74,19.157,20.9
7:59:25 PM,25.1,21.73,19.157,20.89
7:59:25 PM,25.2,21.71,19.157,20.89
7:59:25 PM,25.3,21.71,19.157,20.88
7:59:25 PM,25.4,21.67,19.157,20.87
7:59:25 PM,25.5,21.68,19.157,20.87
7:59:25 PM,25.6,21.68,19.157,20.87
7:59:25 PM,25.7,21.65,19.158,20.85
7:59:25 PM,25.8,21.65,19.159,20.86
7:59:25 PM,25.9,21.64,19.16,20.85
7:59:26 PM,26,21.64,19.159,20.87
7:59:26 PM,26.1,21.63,19.158,20.87
7:59:26 PM,26.2,21.63,19.157,20.86
7:59:26 PM,26.3,21.61,19.159,20.86
7:59:26 PM,26.4,21.68,19.161,20.91
7:59:26 PM,26.5,21.62,19.164,20.88
7:59:26 PM,26.6,21.61,19.161,20.88
7:59:26 PM,26.7,21.64,19.159,20.89
7:59:26 PM,26.8,21.58,19.157,20.85
