Date,Time,Humidity,Temperature
2023-03-15,8:28:00 PM,40.1,20.35
2023-03-15,8:28:05 PM,40.1,20.35
2023-03-15,8:28:10 PM,40.1,20.35
2023-03-15,8:28:15 PM,40.1,20.35
2023-03-15,8:28:20 PM,40.2,20.35
2023-03-15,8:28:25 PM,40.2,20.35
2023-03-15,8:28:30 PM,40.2,20.35
2023-03-15,8:28:35 PM,40.2,20.35
2023-03-15,8:28:40 PM,40.2,20.35
2023-03-15,8:28:45 PM,40.2,20.35
2023-03-15,8:28:50 PM,40.2,20.35
2023-03-15,8:28:55 PM,40.3,20.35
2023-03-15,8:29:00 PM,40.3,20.35
2023-03-15,8:29:05 PM,40.3,20.35
2023-03-15,8:29:10 PM,40.4,20.35
2023-03-15,8:29:15 PM,40.4,20.35
2023-03-15,8:29:20 PM,40.4,20.35
2023-03-15,8:29:25 PM,40.4,20.35
2023-03-15,8:29:30 PM,40.4,20.35
2023-03-15,8:29:35 PM,40.4,20.35
2023-03-15,8:29:40 PM,40.4,20.35
2023-03-15,8:29:45 PM,40.4,20.35
2023-03-15,8:29:50 PM,40.4,20.35
2023-03-15,8:29:55 PM,40.3,20.4
2023-03-15,8:30:00 PM,40.3,20.4
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
