Date,Time,Temperature,Tair,Treflect
8:28:00 PM,0,20.54,19.333,20.94
8:28:00 PM,0.1,20.57,19.334,20.97
8:28:00 PM,0.2,20.62,19.335,21.03
8:28:00 PM,0.3,20.71,19.336,21.08
8:28:00 PM,0.4,20.65,19.336,21.01
8:28:00 PM,0.5,20.65,19.336,21.01
8:28:00 PM,0.6,20.65,19.336,21.01
8:28:00 PM,0.7,20.65,19.337,21.01
8:28:00 PM,0.8,20.65,19.339,21.01
8:28:00 PM,0.9,20.65,19.34,21.01
8:28:01 PM,1,20.65,19.339,21.01
8:28:01 PM,1.1,20.65,19.337,21.01
8:28:01 PM,1.2,20.65,19.336,21.01
8:28:01 PM,1.3,20.65,19.337,21.01
8:28:01 PM,1.4,20.65,19.339,21.01
8:28:01 PM,1.5,20.65,19.34,21.01
8:28:01 PM,1.6,20.65,19.34,21.01
8:28:01 PM,1.7,20.99,19.34,21.08
8:28:01 PM,1.8,21.07,19.34,21.14
8:28:01 PM,1.9,21.09,19.34,21.13
8:28:02 PM,2,21.11,19.34,21.12
8:28:02 PM,2.1,21.14,19.34,21.13
8:28:02 PM,2.2,21.24,19.342,21.2
8:28:02 PM,2.3,21.24,19.345,21.18
8:28:02 PM,2.4,21.24,19.347,21.17
8:28:02 PM,2.5,21.26,19.347,21.17
8:28:02 PM,2.6,21.37,19.347,21.23
8:28:02 PM,2.7,21.38,19.347,21.24
8:28:02 PM,2.8,21.39,19.347,21.23
8:28:02 PM,2.9,21.41,19.347,21.23
8:28:03 PM,3,21.39,19.347,21.17
8:28:03 PM,3.1,21.36,19.346,21.13
8:28:03 PM,3.2,21.42,19.345,21.15
8:28:03 PM,3.3,21.4,19.344,21.12
8:28:03 PM,3.4,21.4,19.342,21.11
8:28:03 PM,3.5,21.48,19.341,21.15
8:28:03 PM,3.6,21.47,19.34,21.13
8:28:03 PM,3.7,21.47,19.341,21.12
8:28:03 PM,3.8,21.57,19.342,21.18
8:28:03 PM,3.9,21.59,19.343,21.19
8:28:04 PM,4,21.6,19.346,21.17
8:28:04 PM,4.1,21.67,19.348,21.21
8:28:04 PM,4.2,21.62,19.351,21.17
8:28:04 PM,4.3,21.66,19.351,21.19
8:28:04 PM,4.4,21.69,19.351,21.18
8:28:04 PM,4.5,21.74,19.351,21.19
8:28:04 PM,4.6,21.76,19.351,21.2
8:28:04 PM,4.7,21.76,19.351,21.22
8:28:04 PM,4.8,21.8,19.351,21.21
8:28:04 PM,4.9,21.84,19.351,21.21
8:28:05 PM,5,21.84,19.351,21.21
8:28:05 PM,5.1,21.92,19.351,21.26
8:28:05 PM,5.2,21.94,19.352,21.26
8:28:05 PM,5.3,21.94,19.353,21.24
8:28:05 PM,5.4,21.94,19.354,21.24
8:28:05 PM,5.5,21.94,19.357,21.24
8:28:05 PM,5.6,21.94,19.359,21.24
8:28:05 PM,5.7,21.94,19.362,21.24
8:28:05 PM,5.8,21.94,19.361,21.24
8:28:05 PM,5.9,21.94,19.359,21.24
8:28:06 PM,6,21.94,19.358,21.24
8:28:06 PM,6.1,21.94,19.359,21.24
8:28:06 PM,6.2,21.94,19.361,21.24
8:28:06 PM,6.3,21.94,19.362,21.24
8:28:06 PM,6.4,21.94,19.362,21.24
8:28:06 PM,6.5,21.94,19.362,21.24
8:28:06 PM,6.6,22.37,19.362,21.4
8:28:06 PM,6.7,22.4,19.361,21.42
8:28:06 PM,6.8,22.43,19.359,21.41
8:28:06 PM,6.9,22.46,19.358,21.44
8:28:07 PM,7,22.5,19.357,21.42
8:28:07 PM,7.1,22.5,19.356,21.42
8:28:07 PM,7.2,22.5,19.354,21.42
8:28:07 PM,7.3,22.52,19.353,21.41
8:28:07 PM,7.4,22.55,19.352,21.42
8:28:07 PM,7.5,22.56,19.351,21.42
8:28:07 PM,7.6,22.57,19.351,21.4
8:28:07 PM,7.7,22.6,19.351,21.43
8:28:07 PM,7.8,22.66,19.351,21.45
8:28:07 PM,7.9,22.66,19.352,21.44
8:28:08 PM,8,22.68,19.353,21.44
8:28:08 PM,8.1,22.69,19.354,21.44
8:28:08 PM,8.2,22.66,19.354,21.39
8:28:08 PM,8.3,22.67,19.354,21.38
8:28:08 PM,8.4,22.75,19.354,21.44
8:28:08 PM,8.5,22.77,19.354,21.45
8:28:08 PM,8.6,22.84,19.354,21.46
8:28:08 PM,8.7,22.79,19.354,21.42
8:28:08 PM,8.8,22.81,19.354,21.44
8:28:08 PM,8.9,22.82,19.354,21.43
8:28:09 PM,9,22.86,19.354,21.44
8:28:09 PM,9.1,22.84,19.357,21.42
8:28:09 PM,9.2,22.91,19.359,21.45
8:28:09 PM,9.3,22.9,19.362,21.43
8:28:09 PM,9.4,22.9,19.362,21.42
8:28:09 PM,9.5,22.93,19.362,21.44
8:28:09 PM,9.6,22.94,19.362,21.43
8:28:09 PM,9.7,23.02,19.36,21.48
8:28:09 PM,9.8,23.01,19.359,21.46
8:28:09 PM,9.9,22.99,19.358,21.43
8:28:10 PM,10,22.98,19.358,21.4
8:28:10 PM,10.1,22.96,19.358,21.38
8:28:10 PM,10.2,22.94,19.358,21.36
8:28:10 PM,10.3,22.94,19.359,21.34
8:28:10 PM,10.4,22.94,19.36,21.34
8:28:10 PM,10.5,22.94,19.362,21.34
8:28:10 PM,10.6,22.94,19.362,21.34
8:28:10 PM,10.7,22.94,19.362,21.34
8:28:10 PM,10.8,22.94,19.362,21.34
8:28:10 PM,10.9,22.94,19.362,21.34
8:28:11 PM,11,22.94,19.362,21.34
8:28:11 PM,11.1,22.94,19.362,21.34
8:28:11 PM,11.2,22.94,19.363,21.34
8:28:11 PM,11.3,22.94,19.364,21.34
8:28:11 PM,11.4,22.94,19.365,21.34
8:28:11 PM,11.5,22.94,19.364,21.34
8:28:11 PM,11.6,22.84,19.363,21.28
8:28:11 PM,11.7,22.82,19.362,21.27
8:28:11 PM,11.8,22.8,19.363,21.24
8:28:11 PM,11.9,22.79,19.364,21.25
8:28:12 PM,12,22.85,19.365,21.29
8:28:12 PM,12.1,22.79,19.365,21.25
8:28:12 PM,12.2,22.8,19.365,21.27
8:28:12 PM,12.3,22.78,19.365,21.25
8:28:12 PM,12.4,22.76,19.366,21.23
8:28:12 PM,12.5,22.76,19.368,21.24
8:28:12 PM,12.6,22.74,19.369,21.24
8:28:12 PM,12.7,22.78,19.371,21.26
8:28:12 PM,12.8,22.67,19.374,21.17
8:28:12 PM,12.9,22.67,19.376,21.19
8:28:13 PM,13,22.71,19.375,21.22
8:28:13 PM,13.1,22.69,19.374,21.21
8:28:13 PM,13.2,22.68,19.373,21.22
8:28:13 PM,13.3,22.67,19.371,21.23
8:28:13 PM,13.4,22.67,19.37,21.23
8:28:13 PM,13.5,22.68,19.369,21.25
8:28:13 PM,13.6,22.7,19.371,21.26
8:28:13 PM,13.7,22.69,19.374,21.27
8:28:13 PM,13.8,22.68,19.376,21.27
8:28:13 PM,13.9,22.72,19.376,21.3
8:28:14 PM,14,22.61,19.376,21.24
8:28:14 PM,14.1,22.62,19.376,21.23
8:28:14 PM,14.2,22.57,19.376,21.19
8:28:14 PM,14.3,22.57,19.376,21.18
8:28:14 PM,14.4,22.58,19.376,21.2
8:28:14 PM,14.5,22.57,19.377,21.19
8:28:14 PM,14.6,22.54,19.379,21.19
8:28:14 PM,14.7,22.56,19.38,21.22
8:28:14 PM,14.8,22.56,19.379,21.21
8:28:14 PM,14.9,22.53,19.377,21.2
8:28:15 PM,15,22.49,19.376,21.18
8:28:15 PM,15.1,22.49,19.376,21.18
8:28:15 PM,15.2,22.48,19.376,21.18
8:28:15 PM,15.3,22.46,19.376,21.18
8:28:15 PM,15.4,22.46,19.38,21.18
8:28:15 PM,15.5,22.46,19.383,21.18
8:28:15 PM,15.6,22.46,19.387,21.18
8:28:15 PM,15.7,22.46,19.386,21.18
8:28:15 PM,15.8,22.46,19.385,21.18
8:28:15 PM,15.9,22.46,19.383,21.18
8:28:16 PM,16,22.46,19.386,21.18
8:28:16 PM,16.1,22.46,19.388,21.18
8:28:16 PM,16.2,22.46,19.391,21.18
8:28:16 PM,16.3,22.46,19.389,21.18
8:28:16 PM,16.4,22.46,19.388,21.18
8:28:16 PM,16.5,22.37,19.387,21.17
8:28:16 PM,16.6,22.37,19.387,21.18
8:28:16 PM,16.7,22.36,19.387,21.17
8:28:16 PM,16.8,22.34,19.387,21.16
8:28:16 PM,16.9,22.33,19.387,21.15
8:28:17 PM,17,22.33,19.387,21.16
8:28:17 PM,17.1,22.34,19.387,21.17
8:28:17 PM,17.2,22.38,19.387,21.22
8:28:17 PM,17.3,22.35,19.387,21.2
8:28:17 PM,17.4,22.32,19.387,21.18
8:28:17 PM,17.5,22.29,19.385,21.16
8:28:17 PM,17.6,22.28,19.382,21.15
8:28:17 PM,17.7,22.31,19.38,21.16
8:28:17 PM,17.8,22.3,19.381,21.19
8:28:17 PM,17.9,22.3,19.382,21.17
8:28:18 PM,18,22.3,19.383,21.18
8:28:18 PM,18.1,22.3,19.386,21.19
8:28:18 PM,18.2,22.26,19.388,21.18
8:28:18 PM,18.3,22.27,19.391,21.18
8:28:18 PM,18.4,22.29,19.391,21.2
8:28:18 PM,18.5,22.29,19.391,21.21
8:28:18 PM,18.6,22.23,19.391,21.17
8:28:18 PM,18.7,22.21,19.389,21.16
8:28:18 PM,18.8,22.23,19.388,21.16
8:28:18 PM,18.9,22.23,19.387,21.18
8:28:19 PM,19,22.23,19.389,21.18
8:28:19 PM,19.1,22.16,19.392,21.14
8:28:19 PM,19.2,22.16,19.394,21.13
8:28:19 PM,19.3,22.14,19.397,21.11
8:28:19 PM,19.4,22.17,19.399,21.14
8:28:19 PM,19.5,22.22,19.402,21.19
8:28:19 PM,19.6,22.14,19.397,21.13
8:28:19 PM,19.7,22.12,19.392,21.11
8:28:19 PM,19.8,22.13,19.387,21.14
8:28:19 PM,19.9,22.1,19.389,21.13
8:28:20 PM,20,22.13,19.392,21.15
8:28:20 PM,20.1,22.1,19.394,21.13
8:28:20 PM,20.2,22.1,19.393,21.13
8:28:20 PM,20.3,22.11,19.392,21.15
8:28:20 PM,20.4,22.08,19.391,21.12
8:28:20 PM,20.5,22.08,19.392,21.12
8:28:20 PM,20.6,22.08,19.393,21.12
8:28:20 PM,20.7,22.08,19.394,21.12
8:28:20 PM,20.8,22.08,19.394,21.12
8:28:20 PM,20.9,22.08,19.394,21.12
8:28:21 PM,21,22.08,19.394,21.12
8:28:21 PM,21.1,22.08,19.393,21.12
8:28:21 PM,21.2,22.08,19.392,21.12
8:28:21 PM,21.3,22.08,19.391,21.12
